distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,totalCost,totalWaste,transportationCost
0.55,163.0,90.0,0.0,16.0,0.94,0.786180851063818,0.94,0.5,11.919110451196998,13.049499999999966,4.0
0.55,149.0,90.0,0.0,14.0,0.94,0.7872999999999871,0.94,0.5,10.526345182891408,12.996899999999972,3.5
0.55,161.0,90.0,0.0,17.0,0.9,0.7945844444444312,0.9,0.5,10.613387243181394,14.243699999999954,4.0
0.55,155.0,90.0,0.0,15.0,0.94,0.7850936170212643,0.94,0.5,11.79696049460405,13.100599999999956,4.0
0.55,157.0,90.0,0.0,13.0,0.9,0.7986288888888761,0.9,0.5,10.694986361919964,14.061699999999943,4.0
0.55,154.0,90.0,0.0,19.0,0.92,0.7834086956521614,0.92,0.5,9.477216674610759,13.963199999999956,4.0
0.55,159.0,90.0,0.0,12.0,0.96,0.8087791666666532,0.96,0.5,11.451349607103706,11.17859999999997,3.5
0.55,157.0,90.0,0.0,9.0,0.92,0.8226717391304214,0.92,0.5,12.979737313567847,12.157099999999962,4.0
0.55,156.0,90.0,0.0,15.0,0.92,0.7958673913043348,0.92,0.5,9.789619541371325,13.39009999999994,3.5
0.55,155.0,90.0,0.0,17.0,0.92,0.7759891304347697,0.92,0.5,9.618609092952843,14.304499999999962,4.0
0.55,160.0,90.0,0.0,18.0,0.88,0.8050181818181689,0.88,0.5,10.013071201452698,14.579199999999936,4.0
0.55,162.0,90.0,0.0,14.0,0.94,0.7971234042553063,0.94,0.5,12.457260638210862,12.535199999999973,3.5
0.55,161.0,90.0,0.0,15.0,0.96,0.7953124999999868,0.96,0.5,10.589295175313538,11.824999999999973,4.0
0.55,155.0,90.0,0.0,13.0,0.94,0.807110638297859,0.94,0.5,11.2443986027208,12.065799999999964,3.5
0.55,161.0,90.0,0.0,13.0,0.94,0.7987021276595616,0.94,0.5,10.453586851274501,12.460999999999961,3.5
0.55,157.0,90.0,0.0,13.0,0.92,0.7823956521739011,0.92,0.5,11.40880367013757,14.009799999999956,3.5
0.55,166.0,90.0,0.0,16.0,0.94,0.7842276595744551,0.94,0.5,11.599305421809126,13.141299999999971,4.0
0.55,152.0,90.0,0.0,10.0,0.92,0.8009391304347693,0.92,0.5,11.20611466842522,13.156799999999967,3.5
0.55,157.0,90.0,0.0,16.0,0.9,0.8166622222222089,0.9,0.5,8.726837144947854,13.25019999999995,3.5
0.55,158.0,90.0,0.0,14.0,0.94,0.797427659574456,0.94,0.5,9.574815939626736,12.52089999999997,3.5
0.55,161.0,90.0,0.0,14.0,0.9,0.8371866666666531,0.9,0.5,10.581065102926695,12.326599999999937,3.5
0.55,162.0,90.0,0.0,17.0,0.92,0.8226934782608551,0.92,0.5,12.978964595823468,12.156099999999977,4.0
0.55,156.0,90.0,0.0,15.0,0.92,0.7984304347825961,0.92,0.5,11.34302428185285,13.272199999999943,4.0
0.55,161.0,90.0,0.0,13.0,0.96,0.7906937499999872,0.96,0.5,9.613647761473993,12.04669999999997,3.5
0.55,156.0,90.0,0.0,9.0,0.94,0.7928404255319024,0.94,0.5,12.47243627667779,12.736499999999976,3.5
0.55,156.0,90.0,0.0,15.0,0.94,0.7704063829787107,0.94,0.5,10.418569426055207,13.790899999999949,3.5
0.55,159.0,90.0,0.0,18.0,0.92,0.7959934782608563,0.92,0.5,8.686049442838659,13.384299999999934,3.5
0.55,164.0,90.0,0.0,12.0,0.94,0.7942765957446682,0.94,0.5,12.28726956106728,12.66899999999997,4.0
0.55,160.0,90.0,0.0,9.0,0.94,0.7942276595744548,0.94,0.5,11.197922462207096,12.671299999999958,3.5
0.55,166.0,90.0,0.0,14.0,0.92,0.7991369565217256,0.92,0.5,10.971849614345386,13.23969999999994,3.5
0.55,174.0,90.0,0.0,12.0,0.96,0.8040624999999872,0.96,0.5,12.150818114778476,11.404999999999976,3.5
0.55,168.0,90.0,0.0,15.0,0.94,0.7930553191489235,0.94,0.5,10.144336632922688,12.726399999999975,3.5
0.55,173.0,90.0,0.0,17.0,0.98,0.7671897959183548,0.98,0.5,10.105430020441231,12.407699999999974,3.5
0.55,174.0,90.0,0.0,16.0,0.94,0.762402127659562,0.94,0.5,9.095712728397602,14.16709999999996,3.5
0.55,150.0,90.0,0.0,15.0,0.96,0.7905229166666534,0.96,0.5,9.649861354786728,12.054899999999982,3.5
0.55,154.0,90.0,0.0,12.0,0.96,0.8222708333333199,0.96,0.5,11.096169475666562,10.53099999999998,3.5
0.55,159.0,90.0,0.0,12.0,0.98,0.7922387755101912,0.98,0.5,11.026418874421331,11.18029999999998,3.5
0.55,164.0,90.0,0.0,13.0,0.94,0.7969595744680723,0.94,0.5,9.591947134287897,12.542899999999955,3.5
0.55,160.0,90.0,0.0,12.0,0.96,0.8066333333333199,0.96,0.5,11.10300912754763,11.281599999999976,3.0
0.55,167.0,90.0,0.0,15.0,0.92,0.7853652173912917,0.92,0.5,8.209438664344786,13.873199999999962,3.0
0.55,170.0,90.0,0.0,10.0,0.96,0.7949312499999871,0.96,0.5,11.089939468289144,11.843299999999969,3.0
0.55,155.0,90.0,0.0,14.0,0.96,0.7884270833333208,0.96,0.5,9.001277181707664,12.155499999999961,3.0
0.55,159.0,90.0,0.0,9.0,0.9,0.817588888888876,0.9,0.5,10.008136966114858,13.208499999999965,3.0
0.55,164.0,90.0,0.0,17.0,0.96,0.7833395833333207,0.96,0.5,9.06235071160522,12.399699999999982,3.0
0.55,172.0,90.0,0.0,16.0,0.98,0.7893183673469257,0.98,0.5,8.93529914611924,11.323399999999973,3.0
0.55,170.0,90.0,0.0,13.0,0.98,0.8054020408163135,0.98,0.5,9.189153461615108,10.535299999999983,3.0
0.55,159.0,90.0,0.0,12.0,0.96,0.8009229166666536,0.96,0.5,11.312682018272719,11.555699999999987,3.0
0.55,169.0,90.0,0.0,13.0,0.92,0.7998282608695518,0.92,0.5,8.737023152715237,13.207899999999945,3.0
0.55,161.0,90.0,0.0,14.0,0.96,0.8091062499999868,0.96,0.5,9.665990781792503,11.162899999999986,3.0
0.55,168.0,90.0,0.0,13.0,0.98,0.7960714285714161,0.98,0.5,10.98997548200213,10.99249999999999,3.0
0.55,157.0,90.0,0.0,15.0,0.92,0.7874934782608567,0.92,0.5,8.446358932582532,13.775299999999959,3.0
0.55,162.0,90.0,0.0,12.0,0.96,0.8084687499999873,0.96,0.5,12.4845857987498,11.193499999999984,3.0
0.55,152.0,90.0,0.0,10.0,0.96,0.7737354166666539,0.96,0.5,9.023622203150717,12.860699999999959,3.0
0.55,159.0,90.0,0.0,15.0,0.94,0.7794808510638167,0.94,0.5,9.27154630601392,13.364399999999941,3.0
0.55,149.0,90.0,0.0,18.0,0.92,0.7834934782608574,0.92,0.5,8.880398632087182,13.95929999999995,3.0
0.55,151.0,90.0,0.0,13.0,0.94,0.8091148936170075,0.94,0.5,10.380098447849015,11.971599999999967,3.0
0.55,158.0,90.0,0.0,15.0,0.96,0.8133416666666524,0.96,0.5,8.997564651993317,10.959599999999977,3.0
0.55,157.0,90.0,0.0,13.0,0.98,0.8174142857142728,0.98,0.5,9.990557792733739,9.946699999999991,2.5
0.55,162.0,90.0,0.0,10.0,0.96,0.7931458333333202,0.96,0.5,10.496359675947177,11.928999999999975,3.0
0.55,151.0,90.0,0.0,19.0,0.98,0.8089346938775375,0.98,0.5,9.298010663360538,10.362199999999984,3.0
0.55,165.0,90.0,0.0,15.0,0.96,0.8111562499999866,0.96,0.5,9.84712566289544,11.064499999999967,3.0
0.55,167.0,90.0,0.0,14.0,0.88,0.8155045454545324,0.88,0.5,9.071903348562165,14.117799999999919,3.0
0.55,189.0,90.0,0.0,13.0,0.98,0.7737795918367225,0.98,0.5,9.748071961267543,12.08479999999997,3.0
0.55,164.0,90.0,0.0,12.0,0.98,0.8006367346938641,0.98,0.5,8.806332333650124,10.768799999999986,2.5
0.55,173.0,90.0,0.0,11.0,0.98,0.7818244897959052,0.98,0.5,8.333621621125166,11.690599999999991,2.5
0.55,158.0,90.0,0.0,10.0,0.94,0.8173234042553065,0.94,0.5,9.545518196680717,11.585799999999987,2.5
0.55,171.0,90.0,0.0,11.0,0.98,0.8020775510203956,0.98,0.5,10.123929488259478,10.698199999999982,2.5
0.55,167.0,90.0,0.0,7.0,0.94,0.8105297872340294,0.94,0.5,9.465351184171407,11.905099999999976,2.5
0.55,162.0,90.0,0.0,13.0,0.98,0.7680755102040695,0.98,0.5,7.872940461259296,12.364299999999986,2.5
0.55,173.0,90.0,0.0,10.0,0.96,0.7835333333333208,0.96,0.5,7.951359755630459,12.390399999999977,2.5
0.55,165.0,90.0,0.0,11.0,0.96,0.8139604166666533,0.96,0.5,10.222338472289778,10.92989999999997,3.0
0.55,169.0,90.0,0.0,15.0,0.96,0.7930062499999867,0.96,0.5,8.574225476205674,11.935699999999974,2.5
0.55,161.0,90.0,0.0,11.0,0.96,0.793074999999987,0.96,0.5,8.720440459695649,11.93239999999997,2.5
0.55,171.0,90.0,0.0,13.0,0.96,0.8016229166666536,0.96,0.5,8.634138862266783,11.522099999999966,2.5
0.55,162.0,90.0,0.0,16.0,0.96,0.7902708333333203,0.96,0.5,8.531762139220179,12.066999999999972,2.5
0.55,178.0,90.0,0.0,11.0,0.98,0.8093612244897833,0.98,0.5,9.48047772745666,10.341299999999999,2.5
0.55,165.0,90.0,0.0,9.0,0.96,0.7930479166666539,0.96,0.5,7.834975101142854,11.933699999999968,2.5
0.55,156.0,90.0,0.0,17.0,0.94,0.8083851063829657,0.94,0.5,7.874712632152742,12.005899999999972,2.5
0.55,159.0,90.0,0.0,12.0,0.96,0.7979562499999867,0.96,0.5,8.408887627191932,11.698099999999988,2.5
0.55,153.0,90.0,0.0,18.0,0.94,0.8154893617021136,0.94,0.5,8.123511207650289,11.671999999999953,2.5
0.55,158.0,90.0,0.0,11.0,0.96,0.7783958333333207,0.96,0.5,8.966738063345613,12.636999999999976,2.5
0.55,164.0,90.0,0.0,8.0,0.98,0.8032489795918236,0.98,0.5,8.961762141156031,10.640799999999999,2.5
0.55,170.0,90.0,0.0,13.0,0.94,0.8044872340425395,0.94,0.5,8.025944407233453,12.189099999999964,2.5
