distribSd,finalTime,gravityDecay,nwClustCoef,nwComponents,nwInDegree,nwMeanFlow,nwOutDegree,overlapThreshold,relativeCost,totalCost,totalWaste,transportationCost
0.6,100.0,85.0,0.0,15.0,0.88,0.7912818181818035,0.88,0.5,1.5483250293899795,5.419137602864932,0.3036719999999988,3.5
0.6,100.0,85.0,0.0,15.0,0.92,0.8263391304347671,0.92,0.5,1.4986262361644698,5.245191826575645,0.23976799999999884,3.5
0.6,100.0,85.0,0.0,5.0,0.98,0.8420469387754955,0.98,0.5,3.8049387481539023,1.9024693740769514,0.17479400000000006,0.5
0.6,100.0,85.0,0.0,10.0,0.98,0.8129469387754957,0.98,0.5,2.061972565724815,7.216903980036852,0.20331199999999966,3.5
0.6,100.0,85.0,0.0,13.0,0.9,0.8189511111110963,0.9,0.5,1.9768668996666237,6.919034148833181,0.2629439999999985,3.5
0.6,100.0,85.0,0.0,8.0,0.94,0.7968127659574334,0.94,0.5,1.5327307916602786,5.3645577708109755,0.2509959999999993,3.5
0.6,100.0,85.0,0.0,12.0,0.92,0.8186934782608554,0.92,0.5,1.4577999699387847,5.1022998947857445,0.24680199999999897,3.5
0.6,100.0,85.0,0.0,15.0,0.92,0.8254413043478115,0.92,0.5,1.8440557392457824,6.454195087360239,0.2405939999999992,3.5
0.6,100.0,85.0,0.0,11.0,0.96,0.8243374999999853,0.96,0.5,1.8351117926675802,6.422891274336529,0.2086359999999997,3.5
0.6,100.0,85.0,0.0,10.0,0.98,0.8117775510203937,0.98,0.5,2.2252594929333194,7.788408225266617,0.2044579999999998,3.5
0.6,100.0,85.0,0.0,9.0,0.94,0.8287744680850915,0.94,0.5,1.7581127972985477,6.153394790544917,0.22095199999999934,3.5
0.6,100.0,85.0,0.0,16.0,0.86,0.8222418604651013,0.86,0.5,1.5236909178735116,5.332918212557292,0.29287199999999836,3.5
0.6,100.0,85.0,0.0,5.0,0.96,0.8310895833333186,0.96,0.5,3.2570999431236087,1.6285499715618044,0.20215399999999936,0.5
0.6,100.0,85.0,0.0,4.0,0.96,0.8403833333333183,0.96,0.5,3.4179166841479796,1.70895834207399,0.19323199999999985,0.5
0.6,100.0,85.0,0.0,5.0,1.0,0.8472159999999844,1.0,0.5,3.5325145963176348,1.7662572981588172,0.15278400000000011,0.5
0.6,100.0,85.0,0.0,13.0,0.96,0.8228916666666518,0.96,0.5,1.873035000791537,6.555622502770381,0.21002399999999974,3.5
0.6,100.0,85.0,0.0,16.0,0.94,0.7966680851063689,0.94,0.5,1.3667303074495056,4.7835560760732685,0.2511319999999993,3.5
0.6,100.0,85.0,0.0,12.0,0.9,0.8123711111110958,0.9,0.5,1.3783569415363959,4.824249295377387,0.2688659999999991,3.5
0.6,100.0,85.0,0.0,12.0,0.9,0.8414911111110953,0.9,0.5,1.9560729078168217,6.846255177358874,0.24265799999999874,3.5
0.6,100.0,85.0,0.0,12.0,0.92,0.8323369565217243,0.92,0.5,1.9805456901758507,6.931909915615476,0.23424999999999926,3.5
0.6,100.0,85.0,0.0,6.0,0.94,0.8666999999999844,0.94,0.5,3.17604786318937,1.588023931594685,0.18530199999999944,0.5
0.6,100.0,85.0,0.0,12.0,0.96,0.8278499999999845,0.96,0.5,2.1127105569203706,7.394486949221294,0.2052639999999993,3.5
0.6,100.0,85.0,0.0,4.0,0.94,0.830893617021262,0.94,0.5,3.2217275726372483,1.610863786318624,0.21895999999999963,0.5
0.6,100.0,85.0,0.0,2.0,0.96,0.831497916666653,0.96,0.5,4.0794658101376475,2.039732905068824,0.20176199999999997,0.5
0.6,100.0,85.0,0.0,11.0,0.92,0.8243195652173765,0.92,0.5,1.779437848962173,6.228032471367607,0.2416259999999989,3.5
