84;1;3500
143;2;6440
30;3;4.81
153;4;82.4
185;6;101
156;6;685
155;7;511
152;8;279
54;9;4330
54;9;1720
144;10;533
51;10;292
140;10;0.4
51;10;227
144;10;534
51;10;287
139;10;0.637
144;10;485
183;11;5350
183;12;213
141;14;301
141;15;290
72;16;468
84;1;680
137;18;3650
137;18;988
137;18;1190
137;18;4260
137;18;10100
137;18;4480
137;18;7560
181;19;15.1
131;20;1480
137;21;4060
169;22;53
131;20;452
133;23;299
133;23;94.8
138;24;2800
138;24;1560
138;24;2720
131;25;10400
138;24;2150
146;26;122
172;27;26.8
146;28;514
146;29;162
148;30;5780
131;20;10
131;25;263
168;30;5.1
46;31;755
169;22;76.8
169;32;1500
169;32;1960
184;36;904
184;36;387
145;37;155
145;37;221
145;37;68
136;38;4.43
170;39;15.5
134;41;10500
134;41;32000
134;41;28500
134;41;21400
134;41;17600
134;41;33200
47;42;4220
47;42;4350
192;43;1650
192;43;1370
144;19;156
54;44;234
54;44;497
163;45;81
171;46;29.8
186;48;14700
133;49;0.038
146;49;0.166
157;51;103
157;51;56.2
157;51;101
157;51;83.4
188;54;636
188;55;11
174;57;36.6
174;57;1.6
174;57;1.64
174;58;29.1
182;59;163
174;58;19.2
174;58;44.8
193;17;468
193;17;115
193;17;122
193;17;449
193;17;369
154;54;9.91
149;54;103
154;54;19.2
154;54;13.5
154;54;17.9
133;54;6.08
162;54;9.86
165;61;19
179;62;701
179;62;2300
179;63;539
165;63;2050
179;64;9390
165;65;1660
179;65;15
165;66;1450
165;67;1940
165;67;10200
165;68;1550
165;69;19
165;70;27
165;71;12500
165;71;8800
165;71;14900
165;72;117
161;73;28.5
165;74;2830
165;75;932
179;75;5870
179;76;5040
179;77;477
179;78;4300
179;79;638
165;68;111
165;68;8430
144;81;465
173;82;45
173;82;44
173;82;47800
159;56;348
144;81;3210
144;81;5150
189;83;403
189;83;119
197;83;518
146;49;5.9
146;49;7.2
146;84;12.4
146;84;13500
164;84;0.192
194;42;644
194;42;1070
164;51;36
164;51;2
171;51;0.38
30;85;113
30;85;116
30;85;8
30;85;56.7
30;85;70.7
132;85;178
132;85;87.3
132;85;71.5
191;86;59.1
167;86;72.6
191;86;21.7
170;86;57
191;86;50.9
191;86;43.2
167;86;18.3
164;51;4.95
164;51;23.6
164;51;37
171;51;258
196;52;12000
196;52;18900
196;52;12800
47;42;16.4
49;8;19.8
150;8;59
137;17;43.5
137;17;57.5
137;17;77.5
137;17;45.5
147;15;84.2
147;15;79.3
147;15;87
147;15;81.5
137;35;64.1
177;35;2050
137;35;319
175;87;1190
148;87;366
175;88;1830
166;89;265
166;90;5610
187;51;2.45
187;51;3.55
172;71;86.6
46;8;191
137;91;22.7
166;54;38.4
46;8;19.8
159;56;433
135;92;0.086
180;93;3560
172;94;49.3
180;95;2800
190;96;240
190;96;381
190;96;239
190;1;535
190;1;137
190;1;46.6
190;1;271
190;1;1340
190;1;9230
190;1;55
190;1;9990
190;1;5930
190;97;90
190;97;69.5
190;97;22.6
199;54;8
198;99;3250
198;99;664
198;99;4620
173;100;1400
173;100;1540
173;100;1250000
189;101;119
160;102;3460
160;102;21.5
160;102;11800
160;102;252
151;103;41
190;104;78.4
173;105;732000
173;30;1500
173;30;1430
173;30;8910000
173;105;954
173;105;1000
195;106;6.42
173;107;46100
173;107;75
173;107;48
173;30;1650
173;30;1750
173;30;1720000
173;108;137
173;108;175
173;108;178000
198;109;2050
198;109;810
198;110;832
198;110;350
198;111;150
171;112;462
172;113;5380
172;27;74.6
172;114;27.3
190;115;38.9
171;46;122
172;116;198
172;117;9.19
172;118;823
172;119;134
172;120;18.2
172;114;3.13
172;121;5.52
175;122;1670
175;123;1330
176;124;232
148;125;884
176;126;84.6
174;127;0.537
166;128;1
176;100;8.96
176;94;40.1
158;25;1110
175;50;221
178;129;6.3
190;1;46.7
185;130;1570
142;35;200
