evolution$generation,gravityDecay,overlapThreshold,transportationCost,distribSd,errorRelativeCost,errorLinkLength,errorNetworkSize,evolution$samples
28600,1.0,0.42596705778426547,6.316762463683645,0.340689358806836,0.029491420997434206,1136.052701913653,6084.0,100
28600,1.5555489971222274,0.28847523537242864,4.961259017877673,0.03383126246919173,2.208263038278592E-13,929.3492648081386,22801.0,100
28600,97.9600194212435,0.49474136547782976,0.3600875810711638,0.010154095347872314,696.6843834393944,5.6552944011030174E-8,0.0,100
28600,4.158842379197935,0.4801058990170228,4.834337688228442,0.010217746549606041,0.0021697694943809583,773.844842078137,23409.0,1
28600,63.663520997072176,0.4993506556234445,0.1930174769303385,0.010013673619690746,638.1016442812638,1.1705923327391622E-6,0.0,100
28600,1.792967647469962,0.0,0.1,0.021282161073567892,0.20307606093664343,1011.0029766868292,4761.0,1
28600,1.75341275358518,2.4422546354339423E-5,5.272436421620283,0.016707890820085742,0.0024821213889610165,919.1228490916391,22201.0,80
28600,1.6263955437318782,0.011473588013430892,0.10179301398550768,0.015262269825274722,1.7250582204022957E-5,994.1395182820999,21316.0,1
28600,5.117287202464881,0.41757355362320187,2.5438407533653296,0.010193143912400485,1.9131319540166956,654.676596485269,12996.0,1
28600,1.115789676084358,0.0,0.10451532505153202,0.022594828533767153,0.0020696112693405796,1089.3362254515732,12544.0,8
28600,2.0483353179746757,0.0,0.14212078412174808,0.0112369286455127,0.044459041410235475,963.320907564529,12321.0,1
28600,2.3193892689854834,0.0,0.10546427123061575,0.011595143095541442,0.1265172403486074,943.6143635940371,11881.0,1
28600,4.0336946748139795,0.440356570541183,0.16479134822653618,0.011022054463214307,0.0014379252781246768,793.6197425953945,23104.0,1
28600,1.5392226042951966,0.0,0.10957547318657496,0.010747285863092811,2.8199434495698473E-4,998.7210061569729,21025.0,32
28600,1.5226521588924493,0.0,0.1,0.010902253580193286,3.177405495527113E-4,980.1250483667143,20736.0,1
28600,2.6411386645259345,0.0,1.1956666527690059,0.010002192987170424,0.03497176013316002,896.3533030510799,20449.0,1
28600,2.8788298334946782,0.0,0.11848218911899365,0.010004741124032185,0.044874686044777866,904.6454064353206,19600.0,1
28600,1.5057811877726426,0.007581142928651363,0.10289555071015923,0.016008362277721518,1.125779860695834E-4,1024.2577452526052,20164.0,92
28600,2.585173128718771,0.0,0.1,0.010003161620386112,0.025115592736426495,934.8241980209004,19321.0,4
28600,2.777858572314323,3.1000494320044197E-10,0.10000467625179107,0.01,0.03523830712831181,864.591421983663,19881.0,1
28600,2.6716000518315592,0.0,0.5034108978974647,0.01,0.02407587045495239,955.336761959157,18496.0,7
28600,3.5458757222435184,0.3334962532502395,4.4553577806963105,0.010046408815143402,0.21527274987215703,767.9053128993902,19044.0,51
28600,1.8673677174443213,0.0,0.10229164756975576,0.010629303606311287,0.0017546913437206334,1025.9247053597085,18769.0,1
28600,2.869916603024177,0.0,0.1184817931821801,0.010004922113809472,0.10939679232730669,835.0561586277472,17689.0,44
28600,3.5307216299168633,0.16329962920526478,4.45205745951646,0.010000452980501694,0.2745860321468388,812.7650278643339,17424.0,100
28600,7.770488094702462,0.3841446508949032,1.6288063083558122,0.010025587908296139,18.127431472186455,414.8889294964406,4489.0,1
28600,3.5359103587912917,0.2396292205981693,4.6621064534903125,0.010309819093787032,0.24383492676120663,786.1361373853971,18225.0,2
28600,3.564664981665553,0.26788940840633185,4.7862030828807764,0.01,0.25654830618443314,782.784329805121,17956.0,1
28600,3.091300799009569,0.36561162172219663,0.2893248987637494,0.010002826773525209,0.15892875380222166,854.9873904566709,17161.0,5
28600,4.957053219170684,0.37458864017006527,0.2749888328623281,0.010000116818197631,0.3748292354552792,610.97748467988,16900.0,100
28600,3.1143639631365247,0.3608608663165589,0.22617791158467243,0.01,0.22409398381361229,844.7311551370981,16384.0,5
28600,5.071721121700473,0.3717478121109105,0.3124097916555097,0.010017098313892017,1.2655819186868433,470.9505797285252,16641.0,11
28600,5.27395995478629,0.37236978782979524,0.3081491056138046,0.010016823920834498,1.2098500169923383,536.5029564059458,16129.0,4
28600,5.056191521604391,0.3724815668919174,0.3090948667283785,0.010016610795071863,1.166616368191827,562.2294530029081,15625.0,29
28600,3.106078591710802,0.3096394148950929,3.382966354054314,0.010001376279227089,0.3722151417345128,792.8069941637388,15876.0,2
28600,3.5684401761176407,0.3168762389164852,4.421511895077104,0.010009552012855822,0.4576993154265939,800.1974084986643,15129.0,2
28600,5.035932197899096,0.4977014141857551,1.2195388470347246,0.010323474091737329,2.129488850010477,588.3615949319285,14641.0,5
28600,4.83080810068613,0.4369631334316479,1.9157839442798579,0.01000000418568279,0.9468466871985475,680.334594190378,14884.0,1
28600,4.142166395078458,0.4415292028559995,0.16084351874140124,0.01012505021240117,0.408679348953841,737.7258039655768,15376.0,2
28600,3.086336455694597,0.25466301032716177,0.3967067024450116,0.010016330548511717,0.5318981771162096,823.9034808713149,13924.0,3
28600,1.8607050463114476,4.713537282504767E-6,0.1,0.011584868268319469,0.02059892340215578,995.5131200159184,14400.0,1
28600,5.193820164975346,0.5,0.10017981046321632,0.010003311655441516,1.1989299447308022,651.982796438613,14161.0,2
28600,4.738344908799121,0.39472177649046825,2.345510631937439,0.01,1.5311534527724104,666.1779737258352,13689.0,1
28600,5.385478603540625,0.4856971862485486,1.9036694726696872,0.010000080080735836,2.220155713243949,576.7897411500084,13225.0,1
28600,5.964625542412438,0.4679832837366231,0.10232199809676987,0.010003832445594057,3.967692256791022,540.5644841094809,13456.0,1
